SpecName,AverageFruitLength_cm,armature,armature_leaf,armature_stem,Fruit_size_binary
Acanthophoenix_crinita,0.65,1,1,1,0
Acanthophoenix_rousselii,2,1,1,1,0
Acanthophoenix_rubra,1,1,1,1,0
Acoelorrhaphe_wrightii,0.7,1,1,0,0
Acrocomia_aculeata,4.25,1,1,1,1
Acrocomia_crispa,2.5,1,1,1,0
Acrocomia_emensis,2,1,1,1,0
Acrocomia_glaucescens,NA,1,1,1,NA
Acrocomia_hassleri,2.25,1,1,1,0
Acrocomia_intumescens,4.6,1,1,1,1
Acrocomia_media,NA,1,1,1,NA
Acrocomia_totai,3,1,1,1,0
Actinokentia_divaricata,2.6,0,0,0,0
Actinokentia_huerlimannii,3,0,0,0,0
Actinorhytis_calapparia,10,0,0,0,1
Adonidia_maturbongsii,2.3,0,0,0,0
Adonidia_merrillii,2.5,0,0,0,0
Aiphanes_acanthophylla,1.4,1,1,NA,0
Aiphanes_acaulis,1,1,1,0,0
Aiphanes_bicornis,0.6,1,1,1,0
Aiphanes_buenaventurae,NA,1,1,NA,NA
Aiphanes_chiribogensis,1.1,1,1,1,0
Aiphanes_deltoidea,1.3,1,1,1,0
Aiphanes_duquei,1.05,1,1,1,0
Aiphanes_eggersii,1.75,1,1,1,0
Aiphanes_erinacea,0.75,1,1,1,0
Aiphanes_gelatinosa,1.5,1,1,1,0
Aiphanes_graminifolia,0.5,1,1,1,0
Aiphanes_grandis,2.15,1,1,1,0
Aiphanes_hirsuta,1.35,1,1,1,0
Aiphanes_horrida,1.95,1,1,1,0
Aiphanes_leiostachys,NA,1,1,1,NA
Aiphanes_lindeniana,1.5,1,1,1,0
Aiphanes_linearis,4.5,1,1,1,1
Aiphanes_macroloba,1,1,1,1,0
Aiphanes_minima,1.4,1,1,1,0
Aiphanes_multiplex,1.6,1,1,NA,0
Aiphanes_parvifolia,0.85,1,1,0,0
Aiphanes_pilaris,4.7,1,1,1,1
Aiphanes_simplex,0.9,1,1,1,0
Aiphanes_spicata,1,1,1,0,0
Aiphanes_stergiosii,NA,1,1,1,NA
Aiphanes_tricuspidata,0.75,1,1,1,0
Aiphanes_ulei,0.7,1,1,1,0
Aiphanes_verrucosa,2.25,1,1,1,0
Aiphanes_weberbaueri,0.85,1,1,0,0
Allagoptera_arenaria,1.6,0,0,0,0
